reference_date,target,horizon,target_end_date,value,location,output_type,output_type_id
2026-03-21,wk inc rsv hosp,0,2026-03-21,6.057743779420853,AK,quantile,0.01
2026-03-21,wk inc rsv hosp,1,2026-03-28,5.6077863264083865,AK,quantile,0.01
2026-03-21,wk inc rsv hosp,2,2026-04-04,5.155897879600524,AK,quantile,0.01
2026-03-21,wk inc rsv hosp,3,2026-04-11,4.4548733240365985,AK,quantile,0.01
2026-03-21,wk inc rsv hosp,0,2026-03-21,6.833290641009808,AK,quantile,0.025
2026-03-21,wk inc rsv hosp,1,2026-03-28,6.022841857373715,AK,quantile,0.025
2026-03-21,wk inc rsv hosp,2,2026-04-04,5.537277905642986,AK,quantile,0.025
2026-03-21,wk inc rsv hosp,3,2026-04-11,5.338087002933025,AK,quantile,0.025
2026-03-21,wk inc rsv hosp,0,2026-03-21,7.317011117935181,AK,quantile,0.05
2026-03-21,wk inc rsv hosp,1,2026-03-28,7.246795627474785,AK,quantile,0.05
2026-03-21,wk inc rsv hosp,2,2026-04-04,7.044160339236259,AK,quantile,0.05
2026-03-21,wk inc rsv hosp,3,2026-04-11,6.490472143888474,AK,quantile,0.05
2026-03-21,wk inc rsv hosp,0,2026-03-21,7.829938817024231,AK,quantile,0.1
2026-03-21,wk inc rsv hosp,1,2026-03-28,8.01236242055893,AK,quantile,0.1
2026-03-21,wk inc rsv hosp,2,2026-04-04,7.80057522058487,AK,quantile,0.1
2026-03-21,wk inc rsv hosp,3,2026-04-11,7.425234377384186,AK,quantile,0.1
2026-03-21,wk inc rsv hosp,0,2026-03-21,8.304961830377579,AK,quantile,0.15
2026-03-21,wk inc rsv hosp,1,2026-03-28,8.3030216217041,AK,quantile,0.15
2026-03-21,wk inc rsv hosp,2,2026-04-04,8.209223502874375,AK,quantile,0.15
2026-03-21,wk inc rsv hosp,3,2026-04-11,8.346803045272827,AK,quantile,0.15
2026-03-21,wk inc rsv hosp,0,2026-03-21,8.636710739135742,AK,quantile,0.2
2026-03-21,wk inc rsv hosp,1,2026-03-28,8.525498199462891,AK,quantile,0.2
2026-03-21,wk inc rsv hosp,2,2026-04-04,8.737153005599975,AK,quantile,0.2
2026-03-21,wk inc rsv hosp,3,2026-04-11,8.780352258682251,AK,quantile,0.2
2026-03-21,wk inc rsv hosp,0,2026-03-21,8.865791022777557,AK,quantile,0.25
2026-03-21,wk inc rsv hosp,1,2026-03-28,9.153199672698975,AK,quantile,0.25
2026-03-21,wk inc rsv hosp,2,2026-04-04,9.300571262836456,AK,quantile,0.25
2026-03-21,wk inc rsv hosp,3,2026-04-11,9.234934031963348,AK,quantile,0.25
2026-03-21,wk inc rsv hosp,0,2026-03-21,9.136175775527954,AK,quantile,0.3
2026-03-21,wk inc rsv hosp,1,2026-03-28,9.638485217094422,AK,quantile,0.3
2026-03-21,wk inc rsv hosp,2,2026-04-04,9.790252208709717,AK,quantile,0.3
2026-03-21,wk inc rsv hosp,3,2026-04-11,9.814550721645356,AK,quantile,0.3
