reference_date,target,horizon,target_end_date,value,location,output_type,output_type_id
2026-03-21,wk inc covid hosp,0,2026-03-21,2.0147059071063995,AK,quantile,0.01
2026-03-21,wk inc covid hosp,1,2026-03-28,1.7469747795164585,AK,quantile,0.01
2026-03-21,wk inc covid hosp,2,2026-04-04,1.3617797093093396,AK,quantile,0.01
2026-03-21,wk inc covid hosp,3,2026-04-11,1.0227175757288933,AK,quantile,0.01
2026-03-21,wk inc covid hosp,0,2026-03-21,2.1337385341525077,AK,quantile,0.025
2026-03-21,wk inc covid hosp,1,2026-03-28,1.7980114344507456,AK,quantile,0.025
2026-03-21,wk inc covid hosp,2,2026-04-04,1.4921166837215423,AK,quantile,0.025
2026-03-21,wk inc covid hosp,3,2026-04-11,1.1906075343489646,AK,quantile,0.025
2026-03-21,wk inc covid hosp,0,2026-03-21,2.192038157582283,AK,quantile,0.05
2026-03-21,wk inc covid hosp,1,2026-03-28,1.8522673934698106,AK,quantile,0.05
2026-03-21,wk inc covid hosp,2,2026-04-04,1.5640109866857528,AK,quantile,0.05
2026-03-21,wk inc covid hosp,3,2026-04-11,1.2990770153701305,AK,quantile,0.05
2026-03-21,wk inc covid hosp,0,2026-03-21,2.2520816147327425,AK,quantile,0.1
2026-03-21,wk inc covid hosp,1,2026-03-28,1.9155112832784653,AK,quantile,0.1
2026-03-21,wk inc covid hosp,2,2026-04-04,1.6162922203540802,AK,quantile,0.1
2026-03-21,wk inc covid hosp,3,2026-04-11,1.3639495551586152,AK,quantile,0.1
2026-03-21,wk inc covid hosp,0,2026-03-21,2.3393987238407137,AK,quantile,0.15
2026-03-21,wk inc covid hosp,1,2026-03-28,1.9806311145424842,AK,quantile,0.15
2026-03-21,wk inc covid hosp,2,2026-04-04,1.6751619480550288,AK,quantile,0.15
2026-03-21,wk inc covid hosp,3,2026-04-11,1.4134955078363418,AK,quantile,0.15
2026-03-21,wk inc covid hosp,0,2026-03-21,2.4416710674762725,AK,quantile,0.2
2026-03-21,wk inc covid hosp,1,2026-03-28,2.1001389980316163,AK,quantile,0.2
2026-03-21,wk inc covid hosp,2,2026-04-04,1.7335497051477433,AK,quantile,0.2
2026-03-21,wk inc covid hosp,3,2026-04-11,1.4666210532188415,AK,quantile,0.2
2026-03-21,wk inc covid hosp,0,2026-03-21,2.5140553191304207,AK,quantile,0.25
2026-03-21,wk inc covid hosp,1,2026-03-28,2.184021942317486,AK,quantile,0.25
