reference_date,target,horizon,target_end_date,value,location,output_type,output_type_id
2026-03-21,wk inc flu hosp,0,2026-03-21,5.75026463329792,AK,quantile,0.01
2026-03-21,wk inc flu hosp,1,2026-03-28,4.103816207051277,AK,quantile,0.01
2026-03-21,wk inc flu hosp,2,2026-04-04,2.91791518330574,AK,quantile,0.01
2026-03-21,wk inc flu hosp,3,2026-04-11,1.9482264102995395,AK,quantile,0.01
2026-03-21,wk inc flu hosp,0,2026-03-21,5.945293568074703,AK,quantile,0.025
2026-03-21,wk inc flu hosp,1,2026-03-28,4.336413986980915,AK,quantile,0.025
2026-03-21,wk inc flu hosp,2,2026-04-04,2.9823102481663226,AK,quantile,0.025
2026-03-21,wk inc flu hosp,3,2026-04-11,2.0382446449249985,AK,quantile,0.025
2026-03-21,wk inc flu hosp,0,2026-03-21,6.102106282114983,AK,quantile,0.05
2026-03-21,wk inc flu hosp,1,2026-03-28,4.461333975195885,AK,quantile,0.05
2026-03-21,wk inc flu hosp,2,2026-04-04,3.1598838716745377,AK,quantile,0.05
2026-03-21,wk inc flu hosp,3,2026-04-11,2.233131746947765,AK,quantile,0.05
2026-03-21,wk inc flu hosp,0,2026-03-21,6.32509942650795,AK,quantile,0.1
2026-03-21,wk inc flu hosp,1,2026-03-28,4.747078770399094,AK,quantile,0.1
2026-03-21,wk inc flu hosp,2,2026-04-04,3.4289886981248854,AK,quantile,0.1
2026-03-21,wk inc flu hosp,3,2026-04-11,2.410949608683586,AK,quantile,0.1
2026-03-21,wk inc flu hosp,0,2026-03-21,6.464014786481857,AK,quantile,0.15
2026-03-21,wk inc flu hosp,1,2026-03-28,4.8987344145774845,AK,quantile,0.15
2026-03-21,wk inc flu hosp,2,2026-04-04,3.7033788830041887,AK,quantile,0.15
2026-03-21,wk inc flu hosp,3,2026-04-11,2.685318022966385,AK,quantile,0.15
2026-03-21,wk inc flu hosp,0,2026-03-21,6.643755197525024,AK,quantile,0.2
2026-03-21,wk inc flu hosp,1,2026-03-28,5.174804532527924,AK,quantile,0.2
2026-03-21,wk inc flu hosp,2,2026-04-04,3.850620925426483,AK,quantile,0.2
2026-03-21,wk inc flu hosp,3,2026-04-11,2.8327402591705324,AK,quantile,0.2
2026-03-21,wk inc flu hosp,0,2026-03-21,6.7365875989198685,AK,quantile,0.25
2026-03-21,wk inc flu hosp,1,2026-03-28,5.298364698886871,AK,quantile,0.25
2026-03-21,wk inc flu hosp,2,2026-04-04,4.099829941987991,AK,quantile,0.25
2026-03-21,wk inc flu hosp,3,2026-04-11,3.1034562066197395,AK,quantile,0.25
2026-03-21,wk inc flu hosp,0,2026-03-21,6.803043478727341,AK,quantile,0.3
2026-03-21,wk inc flu hosp,1,2026-03-28,5.398351591825485,AK,quantile,0.3
2026-03-21,wk inc flu hosp,2,2026-04-04,4.205031943321228,AK,quantile,0.3
2026-03-21,wk inc flu hosp,3,2026-04-11,3.1833365589380263,AK,quantile,0.3
2026-03-21,wk inc flu hosp,0,2026-03-21,6.958521458506584,AK,quantile,0.35
2026-03-21,wk inc flu hosp,1,2026-03-28,5.501456341147422,AK,quantile,0.35
2026-03-21,wk inc flu hosp,2,2026-04-04,4.268145078420639,AK,quantile,0.35
2026-03-21,wk inc flu hosp,3,2026-04-11,3.2501423612236975,AK,quantile,0.35
2026-03-21,wk inc flu hosp,0,2026-03-21,7.090540301799774,AK,quantile,0.4
2026-03-21,wk inc flu hosp,1,2026-03-28,5.597620344161987,AK,quantile,0.4
2026-03-21,wk inc flu hosp,2,2026-04-04,4.344945573806763,AK,quantile,0.4
2026-03-21,wk inc flu hosp,3,2026-04-11,3.358190029859543,AK,quantile,0.4
2026-03-21,wk inc flu hosp,0,2026-03-21,7.2162781119346615,AK,quantile,0.45
2026-03-21,wk inc flu hosp,1,2026-03-28,5.674864241480828,AK,quantile,0.45
2026-03-21,wk inc flu hosp,2,2026-04-04,4.4050811469554905,AK,quantile,0.45
2026-03-21,wk inc flu hosp,3,2026-04-11,3.466793677210808,AK,quantile,0.45
2026-03-21,wk inc flu hosp,0,2026-03-21,7.314291208982468,AK,quantile,0.5
2026-03-21,wk inc flu hosp,1,2026-03-28,5.784458518028259,AK,quantile,0.5
2026-03-21,wk inc flu hosp,2,2026-04-04,4.5116306245327,AK,quantile,0.5
2026-03-21,wk inc flu hosp,3,2026-04-11,3.55705463886261,AK,quantile,0.5
2026-03-21,wk inc flu hosp,0,2026-03-21,7.432518169283867,AK,quantile,0.55
2026-03-21,wk inc flu hosp,1,2026-03-28,5.8853007584810255,AK,quantile,0.55
2026-03-21,wk inc flu hosp,2,2026-04-04,4.651632687449455,AK,quantile,0.55
